blob_gamma,median_target_sparse,median_edge_sparse,median_target_edge_ratio,ratio_gate,median_target_edge_contrast,median_contrast_gain_over_main,scene_pass_fraction,mean_empty_exceedance_fraction,empty_fraction_increase,passes_local_branch_gate
0.05,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.8125e-05,7.8125e-05,False
0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.125,0.00078125,0.00078125,False
0.2,0.002041286788880825,0.0,20.41286788880825,5.0,0.002041286788880825,0.002041286788880825,0.5,0.0045312500000000006,0.0045312500000000006,False
0.3,0.007072846405208111,7.70459337218199e-06,70.72846405208111,5.0,0.007058700514306793,0.007058700514306793,0.875,0.008046875,0.008046875,False
0.4,0.008564005605876446,1.591339605511166e-05,85.64005605876446,5.0,0.008532755129635916,0.008532755129635916,1.0,0.010703125,0.010703125,False
