blob_gamma,scene,variant,target_sparse_mean,edge_sparse_mean,target_edge_ratio,target_edge_contrast,target_threshold_mean,edge_threshold_mean,empty_exceedance_fraction
0.05,0,blob,0.0,0.0,0.0,0.0,0.17722079157829285,0.10121835023164749,0.0
0.05,1,blob,0.0,0.0,0.0,0.0,0.18767087161540985,0.09517553448677063,0.0
0.05,2,blob,0.0,0.0,0.0,0.0,0.16317997872829437,0.08988520503044128,0.0
0.05,3,blob,0.0,0.0,0.0,0.0,0.18219143152236938,0.08616264164447784,0.0
0.05,4,blob,0.0,0.0,0.0,0.0,0.18180373311042786,0.08997021615505219,0.0
0.05,5,blob,0.0,0.0,0.0,0.0,0.16060799360275269,0.09076550602912903,0.000625
0.05,6,blob,0.0,0.0,0.0,0.0,0.19528847932815552,0.09572295844554901,0.0
0.05,7,blob,0.0,0.0,0.0,0.0,0.15953028202056885,0.09063403308391571,0.0
0.1,0,blob,0.0,0.0,0.0,0.0,0.17226241528987885,0.1013101264834404,0.00125
0.1,1,blob,0.0,0.0,0.0,0.0,0.1811468005180359,0.09537070244550705,0.0
0.1,2,blob,0.0,0.0,0.0,0.0,0.16138587892055511,0.08987302333116531,0.0
0.1,3,blob,0.0,0.0,0.0,0.0,0.18189086019992828,0.08615504205226898,0.001875
0.1,4,blob,0.0,0.0,0.0,0.0,0.17866387963294983,0.08986326307058334,0.000625
0.1,5,blob,0.0,0.0,0.0,0.0,0.1581256091594696,0.0909324511885643,0.000625
0.1,6,blob,0.0,0.0,0.0,0.0,0.18870174884796143,0.09580597281455994,0.001875
0.1,7,blob,0.006456614006310701,0.0,64.56614006310701,0.006456614006310701,0.15216083824634552,0.0916401594877243,0.0
0.2,0,blob,0.008563975803554058,0.0,85.63975803554058,0.008563975803554058,0.17231982946395874,0.10196863114833832,0.003125
0.2,1,blob,0.0,0.0,0.0,0.0,0.17156201601028442,0.09530533105134964,0.004375
0.2,2,blob,0.00408257357776165,0.0,40.8257357776165,0.00408257357776165,0.15720079839229584,0.0899515450000763,0.005
0.2,3,blob,0.0,3.0738993928025593e-07,0.0,-3.0738993928025593e-07,0.1785103976726532,0.08598334342241287,0.00375
0.2,4,blob,0.0,0.0,0.0,0.0,0.15882880985736847,0.089396633207798,0.005625
0.2,5,blob,0.00458506541326642,0.0,45.850654132664204,0.00458506541326642,0.16005803644657135,0.09129318594932556,0.005625
0.2,6,blob,0.0,0.0,0.0,0.0,0.17906519770622253,0.09580767154693604,0.004375
0.2,7,blob,0.0076811183243989944,0.0,76.81118324398994,0.0076811183243989944,0.14813274145126343,0.0919417068362236,0.004375
0.3,0,blob,0.009046634659171104,1.398299264110392e-05,90.46634659171104,0.00903265166653,0.1733022928237915,0.10163184255361557,0.00625
0.3,1,blob,0.00766059011220932,2.7539745133253746e-05,76.6059011220932,0.007633050367076066,0.1743730753660202,0.09557165205478668,0.006875
0.3,2,blob,0.0045038205571472645,0.0,45.038205571472645,0.0045038205571472645,0.15415269136428833,0.08947843313217163,0.008125
0.3,3,blob,0.0,1.4110241863818374e-05,0.0,-1.4110241863818374e-05,0.15928392112255096,0.08569012582302094,0.0075
0.3,4,blob,0.0064851026982069016,7.520366693825054e-07,64.85102698206902,0.006484350661537519,0.15622931718826294,0.08933169394731522,0.008125
0.3,5,blob,0.005231599323451519,1.426194103260059e-06,52.31599323451519,0.005230173129348259,0.1607782542705536,0.09127561748027802,0.01125
0.3,6,blob,0.008172178640961647,0.0,81.72178640961647,0.008172178640961647,0.1772918403148651,0.09626585990190506,0.0075
0.3,7,blob,0.013157077133655548,1.7248043150175363e-05,131.57077133655548,0.013139829090505373,0.15311165153980255,0.09181781113147736,0.00875
0.4,0,blob,0.009046428836882114,1.779098965926096e-05,90.46428836882114,0.009028637847222853,0.17434491217136383,0.10109049826860428,0.008125
0.4,1,blob,0.013384231366217136,2.7978581783827394e-05,133.84231366217136,0.013356252784433309,0.15599572658538818,0.09581360965967178,0.010625
0.4,2,blob,0.004814109764993191,8.280410838779062e-06,48.14109764993191,0.004805829354154412,0.15148785710334778,0.08889514207839966,0.01125
0.4,3,blob,0.007913187146186829,1.4035802450962365e-05,79.13187146186829,0.007899151343735866,0.1545400768518448,0.08614487200975418,0.0125
0.4,4,blob,0.008081582374870777,4.47099628217984e-05,80.81582374870777,0.008036872412048979,0.153283953666687,0.08902990072965622,0.009375
0.4,5,blob,0.00534841837361455,6.633116754528601e-06,53.484183736145496,0.005341785256860021,0.15926408767700195,0.09117154031991959,0.013125
0.4,6,blob,0.009403388947248459,0.0,94.03388947248459,0.009403388947248459,0.1773039698600769,0.09623349457979202,0.01
0.4,7,blob,0.013903985731303692,7.812020339770243e-05,139.03985731303692,0.01382586552790599,0.15311776101589203,0.09143932163715363,0.010625
