stage,candidate_mean,candidate_target_mean,candidate_schedule,target_absorption_mae,primal_norm,dual_norm,mu_next,p_x,p_l,p_a,counterfactual_loss,budget_loss
1,0.018775619566440582,0.9181436896324158,0.019999999552965164,0.05316890776157379,0.33081576228141785,0.14247646927833557,0.4225273132324219,2.0,1.0,2.0,0.0226749274879694,4.882300004283024e-07
2,0.01008277852088213,0.9472579956054688,0.010312500409781933,0.0117359459400177,0.19043965637683868,0.09587020426988602,0.42912939190864563,2.0,1.0,2.0,0.02454887144267559,5.282053621158411e-07
3,0.0008771084831096232,0.9470967650413513,0.0006249999860301614,0.009990081191062927,0.06146536394953728,0.11275757104158401,0.4230858385562897,2.0,1.0,2.0,0.04607783257961273,8.127799588919515e-08
