scene,variant,target_absorption_mae,background_mae,target_sparse_mean,edge_sparse_mean,target_edge_contrast,candidate_target_mean,candidate_background_mean,decomposition_mae,counterfactual_loss
0,rirufold_cmc,0.009990081191062927,0.00066945276921615,0.4077773988246918,0.0003355722292326391,0.4074418246746063,0.9470967650413513,0.00028140246286056936,0.00020766658417414874,0.04607783257961273
1,rirufold_cmc,0.056599706411361694,0.0008585437317378819,0.3613113760948181,8.651380630908534e-05,0.36122485995292664,0.9465246796607971,0.0002829316072165966,0.000200215436052531,0.04607783257961273
2,rirufold_cmc,0.07602176070213318,0.0010585574200376868,0.3430739641189575,0.0002451883046887815,0.34282878041267395,0.9468323588371277,0.00028460443718358874,0.00021412894420791417,0.04607783257961273
3,rirufold_cmc,0.07315894961357117,0.0006797913229092956,0.3617113530635834,0.000898512254934758,0.36081284284591675,0.9462789297103882,0.0002857312501873821,0.00031535030575469136,0.04607783257961273
4,rirufold_cmc,0.0295163094997406,0.0008150817011483014,0.49010801315307617,0.0010656100930646062,0.48904240131378174,0.9486308097839355,0.00028708664467558265,0.0003044875047635287,0.04607783257961273
5,rirufold_cmc,0.0216083824634552,0.0010140540543943644,0.48042869567871094,0.0018840067787095904,0.478544682264328,0.9488323926925659,0.00029066280694678426,0.0004396227886900306,0.04607783257961273
6,rirufold_cmc,0.025814056396484375,0.0006772069609723985,0.3915267884731293,2.3689912268309854e-05,0.39150309562683105,0.9467926025390625,0.00028445912175811827,0.00020684846094809473,0.04607783257961273
7,rirufold_cmc,0.04287770390510559,0.0008472466142848134,0.3745037615299225,0.0004075283941347152,0.37409624457359314,0.9469618797302246,0.00028519672923721373,0.00020122126443311572,0.04607783257961273
0,rirufold_cmc_nomask,0.41776877641677856,0.0006907065398991108,0.0,0.0,0.0,0.0,0.0,0.00015028921188786626,0.0
1,rirufold_cmc_nomask,0.41789814829826355,0.0008851233869791031,0.0,0.0,0.0,0.0,0.0,0.00015142907795961946,0.0
2,rirufold_cmc_nomask,0.41808977723121643,0.0011009122245013714,0.0,0.0,0.0,0.0,0.0,0.0001514658215455711,0.0
3,rirufold_cmc_nomask,0.41777968406677246,0.0006850145873613656,0.0,0.0,0.0,0.0,0.0,0.00014659875887446105,0.0
4,rirufold_cmc_nomask,0.41784006357192993,0.0008752685389481485,0.0,0.0,0.0,0.0,0.0,0.0001439359475625679,0.0
5,rirufold_cmc_nomask,0.41792547702789307,0.0010903615038841963,0.0,0.0,0.0,0.0,0.0,0.00014438685320783406,0.0
6,rirufold_cmc_nomask,0.4176486134529114,0.0006874054088257253,0.0,0.0,0.0,0.0,0.0,0.0001480794308008626,0.0
7,rirufold_cmc_nomask,0.41790181398391724,0.0008807757985778153,0.0,0.0,0.0,0.0,0.0,0.00014808615378569812,0.0
0,rirufold_cmc_noside,0.41534459590911865,0.0007145573035813868,0.0,0.0,0.0,0.9344714879989624,0.00028015757561661303,0.00017566452152095735,0.0
1,rirufold_cmc_noside,0.41560444235801697,0.0009093401022255421,0.0,0.0,0.0,0.9340608716011047,0.00028716662200167775,0.00017715412832330912,0.0
2,rirufold_cmc_noside,0.4160005748271942,0.0011247878428548574,0.0,0.0,0.0,0.934302568435669,0.0002984493912663311,0.00017684453632682562,0.0
3,rirufold_cmc_noside,0.4153658151626587,0.0007083796081133187,0.0,0.0,0.0,0.9341377019882202,0.00028251935145817697,0.00017145559831988066,0.0
4,rirufold_cmc_noside,0.4155080318450928,0.0008983715088106692,0.0,0.0,0.0,0.9357281923294067,0.00028406779165379703,0.00016866244550328702,0.0
5,rirufold_cmc_noside,0.4156866669654846,0.0011133147636428475,0.0,0.0,0.0,0.9363065958023071,0.00028543328517116606,0.00016840272292029113,0.0
6,rirufold_cmc_noside,0.41423851251602173,0.0007105665281414986,0.004300663247704506,0.0,0.004300663247704506,0.9446752071380615,0.00027709428104572,0.00017107382882386446,0.0
7,rirufold_cmc_noside,0.41561853885650635,0.0009041223092935979,0.0,0.0,0.0,0.9344916939735413,0.00028248148737475276,0.00017321639461442828,0.0
0,rirufold_cmc_onepass,0.009129703044891357,0.0006262711249291897,0.408407986164093,0.0002992103691212833,0.40810877084732056,0.9470945596694946,0.00028143604868091643,0.00015631590213160962,0.0460997112095356
1,rirufold_cmc_onepass,0.05585269629955292,0.0008165268809534609,0.36204448342323303,6.286097777774557e-05,0.3619816303253174,0.946518063545227,0.0002829724980983883,0.000149591825902462,0.0460997112095356
2,rirufold_cmc_onepass,0.0754443109035492,0.00102018762845546,0.3443607985973358,0.00020809113630093634,0.3441527187824249,0.9468302130699158,0.00028473808197304606,0.00016468796820845455,0.0460997112095356
3,rirufold_cmc_onepass,0.0726405680179596,0.000629827321972698,0.36333319544792175,0.0009165154187940061,0.36241668462753296,0.9462684392929077,0.0002858292718883604,0.0002690597320906818,0.0460997112095356
4,rirufold_cmc_onepass,0.03071284294128418,0.0007738119456917048,0.49092593789100647,0.0009660936775617301,0.48995983600616455,0.9486186504364014,0.00028720585396513343,0.00024329831649083644,0.0460997112095356
5,rirufold_cmc_onepass,0.023300141096115112,0.000979130039922893,0.47833970189094543,0.0018022169824689627,0.4765374958515167,0.9488525986671448,0.00029008410638198256,0.0003865306789521128,0.0460997112095356
6,rirufold_cmc_onepass,0.025126919150352478,0.0006328822928480804,0.392214834690094,2.246836811536923e-05,0.39219236373901367,0.9467845559120178,0.00028455405845306814,0.00015566150250378996,0.0460997112095356
7,rirufold_cmc_onepass,0.04206112027168274,0.0008066740701906383,0.3753219544887543,0.00036902641295455396,0.37495294213294983,0.9469562768936157,0.0002853545011021197,0.0001501959195593372,0.0460997112095356
0,rirufold_cmc_fixedmask,0.018442273139953613,0.0012066462077200413,0.3993279039859772,0.0015920914011076093,0.3977358043193817,0.9181436896324158,0.018955769017338753,0.0010493475710973144,0.023265291005373
1,rirufold_cmc_fixedmask,0.0639331042766571,0.0013252595672383904,0.3539807200431824,0.0011289232643321157,0.3528518080711365,0.9177098870277405,0.0169791579246521,0.0008991167414933443,0.023265291005373
2,rirufold_cmc_fixedmask,0.08111967146396637,0.0014133742079138756,0.33798515796661377,0.0016477592289447784,0.3363373875617981,0.9177103638648987,0.01868293434381485,0.0009451103396713734,0.023265291005373
3,rirufold_cmc_fixedmask,0.08270242810249329,0.0012258026981726289,0.3521236777305603,0.0012164479121565819,0.35090723633766174,0.9178955554962158,0.017924947664141655,0.0011367269326001406,0.023265291005373
4,rirufold_cmc_fixedmask,0.020518898963928223,0.0012466205516830087,0.48083892464637756,0.003530642716214061,0.4773082733154297,0.9192335605621338,0.018513377755880356,0.0011060215765610337,0.023265291005373
5,rirufold_cmc_fixedmask,0.01578006148338318,0.0011076814262196422,0.47442394495010376,0.005993588361889124,0.46843037009239197,0.919459342956543,0.018247773870825768,0.0011784584494307637,0.023265291005373
6,rirufold_cmc_fixedmask,0.035773247480392456,0.0012774447677657008,0.38156983256340027,0.00018490308139007539,0.381384938955307,0.918026328086853,0.018447712063789368,0.0010296570835635066,0.023265291005373
7,rirufold_cmc_fixedmask,0.051030904054641724,0.0012810049811378121,0.3663559854030609,0.0017248999793082476,0.3646310865879059,0.9179456233978271,0.017953021451830864,0.0009670473518781364,0.023265291005373
