stage,primal_norm_mean,dual_norm_mean,mu_mean,mu_next_mean,alpha_mean,weight_min,weight_max,scale_disagreement_mean,background_correction_ratio,sparse_correction_ratio
1,0.2036336213350296,0.0,0.39006248116493225,0.399912029504776,0.5250000357627869,0.5347501635551453,4.0,0.02015845850110054,0.0,0.0
2,0.12060346454381943,0.0,0.399912029504776,0.4100102186203003,0.5250000357627869,0.529622495174408,4.0,0.02034432254731655,0.0,0.0
3,0.0673016831278801,0.0,0.4100102186203003,0.4203634560108185,0.5250000357627869,0.5264653563499451,4.0,0.020069368183612823,0.0,0.0
